User_Id,Product_Id,Times_Bought,One_Shot_Ratio_Product,Times_In_Last_5,Times_In_Last_5_Ratio,Total_Orders,First_Ordered,Ordered_Range,Order_Ratio,Avg_Reordered,Avg_To_Cart,Avg_Order_Size
206091,36431.0,1,0.5848214285714286,1.0,0.2,20,19,2,0.5,0.5486146095717884,9.085894206549119,5.7
206091,37065.0,1,0.6747893418355727,0.0,0.0,20,3,18,0.05555555555555555,0.4450202224469161,9.020601617795753,5.7
206091,37940.0,1,0.5589492974954184,0.0,0.0,20,15,6,0.16666666666666666,0.6071514278857691,8.683465322774179,5.7
206091,38729.0,3,0.6355421686746988,1.0,0.2,20,2,19,0.15789473684210525,0.49157733537519144,7.212863705972435,5.7
206091,39476.0,1,0.5666666666666667,0.0,0.0,20,15,6,0.16666666666666666,0.5384615384615384,9.461538461538462,5.7
206091,40992.0,1,0.6208687440982058,1.0,0.2,20,16,5,0.2,0.5002359603586597,9.913874469089192,5.7
206091,41220.0,1,0.54982740507279,1.0,0.2,20,19,2,0.5,0.6178815163158801,8.515369616333086,5.7
206091,41729.0,1,0.5733634311512416,0.0,0.0,20,15,6,0.16666666666666666,0.5552208835341366,9.198795180722891,5.7
206091,42356.0,1,0.6277598450613299,0.0,0.0,20,3,18,0.05555555555555555,0.4922310365174064,10.073952665049498,5.7
206091,42672.0,1,0.6904761904761905,1.0,0.2,20,18,3,0.3333333333333333,0.4878048780487805,8.414634146341463,5.7
206091,43009.0,1,0.726027397260274,1.0,0.2,20,16,5,0.2,0.41365461847389556,10.136546184738956,5.7
206091,43026.0,2,0.6072234762979684,0.0,0.0,20,1,20,0.1,0.5153172866520788,9.206783369803064,5.7
206091,46059.0,1,0.5551839464882943,0.0,0.0,20,2,19,0.05263157894736842,0.5847222222222223,7.806018518518519,5.7
206091,46260.0,1,0.5953947368421053,0.0,0.0,20,3,18,0.05555555555555555,0.5508274231678487,8.7798463356974,5.7
206091,47559.0,1,0.691358024691358,0.0,0.0,20,4,17,0.058823529411764705,0.5235294117647059,8.429411764705883,5.7
206091,49054.0,1,0.6023827252419955,0.0,0.0,20,15,6,0.16666666666666666,0.5478114478114479,9.48956228956229,5.7
206092,248.0,1,0.7204920177963884,0.0,0.0,15,8,8,0.125,0.4002511379689217,10.620781666928268,10.266666666666667
206092,436.0,1,0.6928680981595092,1.0,0.2,15,12,4,0.25,0.46015317739598427,8.822397019250673,10.266666666666667
206092,890.0,1,0.6284153005464481,1.0,0.2,15,11,5,0.2,0.47588307496476795,9.728963040414602,10.266666666666667
206092,1244.0,1,0.5939119170984456,0.0,0.0,15,3,13,0.07692307692307693,0.5596120935539076,10.5760600874691,10.266666666666667
206092,2309.0,1,0.8176,0.0,0.0,15,1,15,0.06666666666666667,0.26297169811320753,10.12814465408805,10.266666666666667
206092,4605.0,2,0.48795906080674295,2.0,0.4,15,11,5,0.4,0.5913731600311616,8.22696024163899,10.266666666666667
206092,5031.0,3,0.5436893203883495,2.0,0.4,15,9,7,0.42857142857142855,0.5974596971177333,9.230907018400911,10.266666666666667
206092,5876.0,4,0.4438441749356854,2.0,0.4,15,2,14,0.2857142857142857,0.689900394319969,8.064014314042806,10.266666666666667
206092,7500.0,1,0.816067947646895,1.0,0.2,15,11,5,0.2,0.24,9.721375661375662,10.266666666666667
206092,8103.0,1,0.524547803617571,1.0,0.2,15,13,3,0.3333333333333333,0.6812191103789127,8.427512355848435,10.266666666666667
206092,8670.0,1,0.676870316270799,0.0,0.0,15,3,13,0.07692307692307693,0.43163442102223504,10.14395033208201,10.266666666666667
